AgencyName,OrgType,Population,City,State
Edmonton Fire Rescue Services,Career,"877,926",Edmonton,AB
Calgary Fire Department,Career,"1,235,171",Calgary,AB
Red Deer Emergency Services,Career,"100,807",Red Deer,AB
St. Albert Fire Services,Career,"60,994",St. Albert,AB
Maxwell AFB Fire Emergency Services Flight,DoD,"12,600",Maxwell AFB,AL
Rogers Fire Department,Career,"61,144",Rogers,AR
Little Rock Air Force Base,DoD,"12,500",Little Rock AFB,AR
Searcy Fire Department,Combination,"23,983",Searcy,AR
Little Rock Fire Department,Career,"197,706",Little Rock,AR
Peoria Fire Department,Career,"163,094",Peoria,AZ
162d Fire and Emergency Services ANG,DoD,"2,000",Tucson,AZ
Arizona Fire and Medical Authority,Career,"50,000",Sun City West,AZ
Yuma Fire Department,Career,"100,049",Yuma,AZ
Chandler Fire Department, Health and Medical  Department,Career,"251,000",Chandler,AZ
MCAS Yuma Fire Department,DoD,"8,000",Yuma,AZ
Davis-Monthan AFB Fire Emergency Services,DoD,"16,713",DMAFB,AZ
Kingman Fire Department,Career,"30,000",Kingman,AZ
Mesa Fire and Medical Department,Career,"462,376",Mesa,AZ
Tempe Fire Medical Rescue,Career,"175,826",Tempe,AZ
City of Burbank Fire Department,Career,"108,000",Burbank,CA
City of Roseville Fire Department,Career,"134,073",Roseville,CA
Camp Pendleton Fire Department,DoD,"90,000",Camp Pendleton,CA
Vista Fire Department,Career,"115,569",Vista,CA
Culver City Fire Department,Career,"39,691",Culver City,CA
MCAS Miramar Fire Department,DoD,"15,000",San Diego,CA
NWS Seal Beach Fire and Emergency Services,DoD,"5,000",Seal Beach,CA
Anaheim Fire & Rescue,Career,"346,997",Anaheim,CA
Clovis Fire Department,Career,"108,039",Clovis,CA
Travis AFB Fire Department,DoD,"26,000",Travis AFB,CA
Pasadena Fire Department,Career,"142,059",Pasadena,CA
DLA Installation Support at San Joaquin,DoD,"1,361",Tracy,CA
Santa Clara County Fire Department,Combination,"226,700",Los Gatos,CA
MCLB Barstow Fire and Emergency Services,DoD,"2,220",Barstow,CA
Combat Center Fire Department,DoD,"25,581",Twentynine Palms,CA
