,AgencyName,OrgType,Population,City,State,International,firecares_id,,,,
0,Edmonton Fire Rescue Services,Career,877926,Edmonton,AB,TRUE,,,,,
1,City of Calgary Fire Department,Career,1235171,Calgary,AB,TRUE,,,,,
2,Red Deer Emergency Services,Career,100807,Red Deer,AB,TRUE,,,,,
3,City of St. Albert Fire Services,Career,60994,St. Albert,AB,TRUE,,,,,
4,128th Air Refueling Wing Fire Emergency Services,DoD,350,Milwaukee,WI,FALSE,100232,,,,
5,115th FW Truax Fire & Emergency Services,DoD,433,Madison,WI,FALSE,97448,,,,
6,"162d Fire & Emergency Services, ANG",DoD,2000,Tucson,AZ,FALSE,100233,,,,
7,Abington Township Fire Department,Volunteer,55310,Abington,PA,FALSE,73145,,,,
8,Addison Fire Department,Career,15518,Addison,TX,FALSE,73208,,,,
9,Alcoa Fire Department,Career,8449,Alcoa,TN,FALSE,77536,,,,
10,Arizona Fire & Medical Authority,Career,50000,Sun City West,AZ,FALSE,100234,,,,
11,Barking Sands Fire and Emergency Services,Career,938,Kekaha,HI,FALSE,100235,,,,
12,Anaheim Fire  & Rescue,Career,346997,Anaheim,CA,FALSE,73618,,,,
13,Arvada Fire Protection District,Combination,125000,Arvada,CO,FALSE,73905,,,,
14,Columbus AFB Fire Emergency Services,DoD,3000,Columbus AFB,MS,FALSE,100253,,,,
15,Davis-Monthan AFB Fire Emergency Services,DoD,16713,DMAFB,AZ,FALSE,100236,,,,
16,Atlanta Fire Rescue Department,Career,447841,Atlanta,GA,FALSE,77549,,,,
17,Aurora Fire Department,Career,351200,Aurora,CO,FALSE,74103,,,,
18,Tempe Fire Medical Rescue,Career,175826,Tempe,AZ,FALSE,77913,,,,
19,Bellevue Fire Department,Career,139400,Bellevue,WA,FALSE,74731,,,,
20,Bowling Green Fire Department,Career,63616,Bowling Green,KY,FALSE,75548,,,,
21,Bowling Green Fire Division,Career,30028,Bowling Green,OH,FALSE,75550,,,,
22,Brentwood Fire and Rescue Department,Career,40401,Brentwood,TN,FALSE,75710,,,,
23,Buckley AFB Fire & Emergency Services,DoD,14000,Aurora,CO,FALSE,76034,,,,
24,MCAS Miramar Fire Department,DoD,15000,San Diego,CA,FALSE,88881,,,,
25,Detroit Metro Airport Fire Department,Career,18000,Detroit,MI,FALSE,100237,,,,
26,Burbank Fire Department,Career,108000,Burbank,CA,FALSE,77583,,,,
27,Camp Lejeune Fire & Emergency Services,DoD,169000,Camp Lejeune,NC,FALSE,76471,,,,
28,Camp Pendleton Fire & Emergency Services,DoD,90000,Camp Pendleton,CA,FALSE,76475,,,,
29,Carmel Fire Department,Career,91065,Carmel,IN,FALSE,76662,,,,
30,DLA Fire and Emergency Services,DoD,6000,New Cumberland,PA,FALSE,100252,,,,
31,"Cary Fire Department, Town of",Career,160000,Cary,NC,FALSE,76752,,,,
32,MCLB Barstow Fire & Emergency Services,DoD,2220,Barstow,CA,FALSE,81469,,,,
33,Cedar Park Fire Department,Career,83781,Cedar Park,TX,FALSE,76924,,,,
34,Vandenberg AFB Fire and Emergency Services,DoD,16000,Vandenberg AFB,CA,FALSE,97968,,,,
35,Central Jackson County Fire Protection District,Career,70000,Blue Springs,MO,FALSE,77049,,,,
36,"Chandler Fire, Health & Medical  Department",Career,251000,Chandler,AZ,FALSE,77140,,,,
37,South Metro Fire Rescue,Career,203500,Centennial,CO,FALSE,95528,,,,
