"count","state"
20645,"NA"
127030,"ND"
146102,"WY"
170538,"SD"
224630,"VT"
230723,"DE"
312766,"AK"
313662,"MT"
448624,"NE"
451335,"HI"
451848,"DC"
463349,"RI"
531069,"ID"
573076,"ME"
613346,"UT"
635688,"WV"
776525,"MS"
816200,"NH"
816240,"IA"
900968,"KY"
903052,"NM"
995152,"AR"
1125927,"SC"
1229125,"WI"
1253536,"KS"
1324160,"MN"
1385838,"AL"
1446498,"IN"
1457372,"LA"
1478201,"OK"
1523249,"OR"
1647964,"CT"
1793671,"NV"
1985839,"NJ"
2054858,"TN"
2252021,"MO"
2292659,"AZ"
2563973,"PA"
2647412,"CO"
2721226,"MI"
2757429,"MD"
2830566,"WA"
4052493,"MA"
4126115,"VA"
4128215,"NC"
4372764,"GA"
4670702,"OH"
6337442,"IL"
7268511,"NY"
9784819,"TX"
10557801,"CA"
13360985,"FL"
