"count","state"
2563973,"PA"
13360985,"FL"
2292659,"AZ"
1457372,"LA"
313662,"MT"
903052,"NM"
312766,"AK"
4128215,"NC"
1523249,"OR"
224630,"VT"
776525,"MS"
995152,"AR"
6337442,"IL"
2252021,"MO"
451335,"HI"
1446498,"IN"
146102,"WY"
613346,"UT"
2721226,"MI"
1253536,"KS"
2757429,"MD"
4372764,"GA"
451848,"DC"
1324160,"MN"
1229125,"WI"
448624,"NE"
4670702,"OH"
1647964,"CT"
1793671,"NV"
1478201,"OK"
20645,"NA"
1385838,"AL"
10557801,"CA"
2647412,"CO"
230723,"DE"
635688,"WV"
127030,"ND"
900968,"KY"
2830566,"WA"
573076,"ME"
463349,"RI"
170538,"SD"
2054858,"TN"
4126115,"VA"
816200,"NH"
816240,"IA"
1125927,"SC"
7268511,"NY"
4052493,"MA"
531069,"ID"
1985839,"NJ"
9784819,"TX"
