"count","state"
999,"PA"
1837163,"FL"
279726,"AZ"
113162,"LA"
31579,"MT"
140968,"NM"
49058,"AK"
152816,"NC"
77928,"OR"
802,"VT"
53184,"MS"
57056,"AR"
172921,"IL"
51327,"MO"
143568,"HI"
9045,"IN"
80294,"UT"
168527,"MI"
37302,"KS"
365,"MD"
68133,"GA"
16,"DC"
118178,"MN"
86005,"WI"
136378,"NE"
2,"OH"
5637,"CT"
889343,"NV"
38461,"OK"
1372,"NA"
105810,"AL"
83892,"CO"
7,"DE"
11915,"ND"
20472,"WV"
1619584,"CA"
8046,"KY"
459858,"WA"
21504,"ME"
3289,"RI"
14581,"SD"
81210,"TN"
140968,"VA"
7410,"NH"
49744,"IA"
9917,"SC"
82104,"NY"
127116,"MA"
17741,"ID"
14216,"NJ"
450525,"TX"
