"count","state"
1837163,"FL"
1619584,"CA"
889343,"NV"
459858,"WA"
450525,"TX"
279726,"AZ"
172921,"IL"
168527,"MI"
152816,"NC"
143568,"HI"
140968,"NM"
140968,"VA"
136378,"NE"
127116,"MA"
118178,"MN"
113162,"LA"
105810,"AL"
86005,"WI"
83892,"CO"
82104,"NY"
81210,"TN"
80294,"UT"
77928,"OR"
68133,"GA"
57056,"AR"
53184,"MS"
51327,"MO"
49744,"IA"
49058,"AK"
38461,"OK"
37302,"KS"
31579,"MT"
21504,"ME"
20472,"WV"
17741,"ID"
14581,"SD"
14216,"NJ"
11915,"ND"
9917,"SC"
9045,"IN"
8046,"KY"
7410,"NH"
5637,"CT"
3289,"RI"
1372,"NA"
999,"PA"
802,"VT"
365,"MD"
16,"DC"
7,"DE"
2,"OH"
